SEP=,
Translation key (DON'T EDIT),TRANSLATION IN ru_ru - EDIT THIS COLUMN,English text (DON'T EDIT - reference only)
item.power.ether_battery,Батарея,Battery
item.power.crystal_armor_chestplate,Нагрудник мастера кристалла,Crystal Chestplate
item.power.ether_stone,Камень эфира,Ether Stone
gui.power.wheel_ability_darkness.tooltip_dark_power_transfer_uses_80,"Передача тёмной силы, расходует 80","Dark power transfer, uses 80"
item.power.moon_battery,Батарея,Battery
gui.power.wheel_abilities_amber.tooltip_copying_power_uses_50,"Копирование силы, расходует 50","Copying power, uses 50"
item.power.time_battery.description_0,§aЗаряжена элементом:,§aCharged with element:
item.power.time_battery.description_1,§9Время,§9Time
item.power.vacuum_armor_chestplate,Нагрудник мастера пустоты,Vacuum Chestplate
item.power.energium_shovel,Энергиумная лопата,Energium Shovel
effect.power.gigantization,Гигантизация,Gigantization
gui.power.keepers_box_gui_part_3.tooltip_blood,Кровь,Blood
item.power.lava_hammer,Лавовый молот,Lava Hammer
item.power.speed_armor_helmet,Шлем мастера скорости,Speed Helmet
gui.power.keepers_box_gui_part_3.tooltip_form,Форма,Form
item.power.blue_flame_armor_boots,Ботинки мастера синего пламени,Blue Flame Boots
item.power.mushrooms_armor_leggings,Поножи мастера грибов,Mushrooms Leggings
gui.power.wheel_abilities_spirit.tooltip_flow_astral_energy_uses_10,"Поток астральной энергии, расходует 10","Flow astral energy, uses 10"
gui.power.wheel_abilities_blood.tooltip_transfusion_uses_40,"Переливание, расходует 20","Transfusion, uses 20"
item.power.mushrooms_armor_boots,Ботинки мастера грибов,Mushrooms Boots
gui.power.keepers_box_gui_part_2.tooltip_technology,Технологии,Technology
advancements.grant_your_power.title,Даруй свою силу,Grant your power
item.power.extra_star_points_rune_3,Руна,Rune
item.power.space_armor_boots,Ботинки мастера космоса,Space Boots
item.power.cursed_keeper_spawn_egg,Яйцо призыва проклятого хранителя,Cursed Keeper Spawn Egg
item.power.plants_stone,Камень зелени,Plants Stone
subtitles.strange_sound,,
gui.power.wheel_abilities_music.tooltip_explosion_of_notes_uses_40,"Нотный взрыв, расходует 40","Explosion of notes, uses 40"
item.power.creation_staff,Посох творения,Creation Staff
item.power.golden_dust_armor_boots,Ботинки мастера золотой пыли,Golden Dust Boots
item.power.extra_star_points_rune_1,Руна,Rune
item.power.extra_star_points_rune_2,Руна,Rune
